,rank,name,imdb_id
170,71,Matthew McConaughey,nm0000190
171,72,Christian Bale,nm0000288
172,73,Gary Oldman,nm0000198
173,74,Edward Norton,nm0001570
174,75,Brad Pitt,nm0000093
175,76,Tom Cruise,nm0000129
176,77,Matt Damon,nm0000354
177,78,Hugh Jackman,nm0413168
178,79,Robert Downey Jr.,nm0000375
179,80,Liam Neeson,nm0000553
180,81,Mel Gibson,nm0000154
181,82,Harrison Ford,nm0000148
182,83,Woody Allen,nm0000095
183,84,Steve McQueen,nm0000537
184,85,Orson Welles,nm0000080
185,86,Robert Redford,nm0000602
186,87,James Dean,nm0000015
187,88,Charlton Heston,nm0000032
188,89,Gene Kelly,nm0000037
189,90,Robert Mitchum,nm0000053
190,91,Bill Murray,nm0000195
191,92,Samuel L. Jackson,nm0000168
192,93,Jim Carrey,nm0000120
193,94,Don Cheadle,nm0000332
194,95,Martin Sheen,nm0000640
195,96,Alan Rickman,nm0000614
196,97,Edward G. Robinson,nm0000064
197,98,Will Smith,nm0000226
198,99,John Goodman,nm0000422
199,100,Buster Keaton,nm0000036
200,101,Margot Robbie,nm3053338
201,102,Samara Weaving,nm3034977
202,103,Emma Stone,nm1297015
203,104,Jamie King,nm0454809
204,105,Emma Mackey,nm8076281
205,106,Lucy Liu,nm0005154
206,107,Jimmy Fallon,nm0266422
207,108,Liam Hemsworth,nm2955013
208,109,Chris Hemsworth,nm1165110
